Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
10/12/00,Coventry,Leicester,1.0,0.0,H,1.0,0.0,H
10/12/00,Liverpool,Ipswich,0.0,1.0,A,0.0,1.0,A
16/12/00,Aston Villa,Man City,2.0,2.0,D,0.0,0.0,D
16/12/00,Derby,Coventry,1.0,0.0,H,1.0,0.0,H
16/12/00,Everton,West Ham,1.0,1.0,D,0.0,0.0,D
16/12/00,Ipswich,Southampton,3.0,1.0,H,0.0,1.0,A
16/12/00,Leeds,Sunderland,2.0,0.0,H,1.0,0.0,H
16/12/00,Leicester,Charlton,3.0,1.0,H,1.0,1.0,D
16/12/00,Middlesbrough,Chelsea,1.0,0.0,H,0.0,0.0,D
16/12/00,Newcastle,Bradford,2.0,1.0,H,1.0,0.0,H
17/12/00,Man United,Liverpool,0.0,1.0,A,0.0,1.0,A
18/12/00,Tottenham,Arsenal,1.0,1.0,D,1.0,0.0,H
22/12/00,Coventry,Southampton,1.0,1.0,D,1.0,0.0,H
23/12/00,Charlton,Everton,1.0,0.0,H,1.0,0.0,H
23/12/00,Chelsea,Bradford,3.0,0.0,H,1.0,0.0,H
23/12/00,Derby,Newcastle,2.0,0.0,H,1.0,0.0,H
23/12/00,Leeds,Aston Villa,1.0,2.0,A,0.0,1.0,A
23/12/00,Leicester,West Ham,2.0,1.0,H,1.0,1.0,D
23/12/00,Liverpool,Arsenal,4.0,0.0,H,1.0,0.0,H
23/12/00,Man United,Ipswich,2.0,0.0,H,2.0,0.0,H
23/12/00,Sunderland,Man City,1.0,0.0,H,1.0,0.0,H
23/12/00,Tottenham,Middlesbrough,0.0,0.0,D,0.0,0.0,D
26/12/00,Arsenal,Leicester,6.0,1.0,H,1.0,0.0,H
26/12/00,Aston Villa,Man United,0.0,1.0,A,0.0,0.0,D
26/12/00,Bradford,Sunderland,1.0,4.0,A,0.0,1.0,A
26/12/00,Everton,Coventry,1.0,2.0,A,0.0,0.0,D
26/12/00,Ipswich,Chelsea,2.0,2.0,D,1.0,2.0,A
26/12/00,Man City,Derby,0.0,0.0,D,0.0,0.0,D
26/12/00,Middlesbrough,Liverpool,1.0,0.0,H,1.0,0.0,H
26/12/00,Newcastle,Leeds,2.0,1.0,H,2.0,1.0,H
26/12/00,West Ham,Charlton,5.0,0.0,H,3.0,0.0,H
27/12/00,Southampton,Tottenham,2.0,0.0,H,2.0,0.0,H
30/12/00,Arsenal,Sunderland,2.0,2.0,D,2.0,0.0,H
30/12/00,Ipswich,Tottenham,3.0,0.0,H,1.0,0.0,H
30/12/00,Man City,Charlton,1.0,4.0,A,0.0,2.0,A
30/12/00,Middlesbrough,Coventry,1.0,1.0,D,0.0,1.0,A
30/12/00,Newcastle,Man United,1.0,1.0,D,0.0,1.0,A
30/12/00,Southampton,Derby,1.0,0.0,H,0.0,0.0,D
01/01/01,Charlton,Arsenal,1.0,0.0,H,1.0,0.0,H
01/01/01,Chelsea,Aston Villa,1.0,0.0,H,1.0,0.0,H
01/01/01,Coventry,Man City,1.0,1.0,D,0.0,0.0,D
01/01/01,Derby,Everton,1.0,0.0,H,1.0,0.0,H
01/01/01,Leeds,Middlesbrough,1.0,1.0,D,0.0,1.0,A
01/01/01,Leicester,Bradford,1.0,2.0,A,1.0,2.0,A
01/01/01,Liverpool,Southampton,2.0,1.0,H,1.0,1.0,D
01/01/01,Man United,West Ham,3.0,1.0,H,2.0,0.0,H
01/01/01,Sunderland,Ipswich,4.0,1.0,H,1.0,1.0,D
02/01/01,Tottenham,Newcastle,4.0,2.0,H,3.0,1.0,H
13/01/01,Arsenal,Chelsea,1.0,1.0,D,1.0,0.0,H
13/01/01,Aston Villa,Liverpool,0.0,3.0,A,0.0,2.0,A
13/01/01,Bradford,Man United,0.0,3.0,A,0.0,0.0,D
13/01/01,Everton,Tottenham,0.0,0.0,D,0.0,0.0,D
13/01/01,Man City,Leeds,0.0,4.0,A,0.0,1.0,A
13/01/01,Middlesbrough,Derby,4.0,0.0,H,1.0,0.0,H
13/01/01,Newcastle,Coventry,3.0,1.0,H,1.0,0.0,H
13/01/01,Southampton,Charlton,0.0,0.0,D,0.0,0.0,D
13/01/01,West Ham,Sunderland,0.0,2.0,A,0.0,1.0,A
14/01/01,Ipswich,Leicester,2.0,0.0,H,0.0,0.0,D
20/01/01,Chelsea,Ipswich,4.0,1.0,H,1.0,1.0,D
